id,isbn,title_short,title,catalogue,cutter,pub_year,copy_info,get_link,note,reprint,removed,keepsite,eisbn
109,9789863477808,黑帽Python,黑帽Python： 給駭客與滲透測試者的Python開發指南,312.32P97,3044,2015,,fail,,,,,
110,9789864340415,DesignPPy,Python設計模式深入解析,312.32P97,8465,2015,,fail,,,,,
111,9789864760244,TDDPy,測試驅動開發：使用 Python,312.32P97,8355,2016,,fail,,,,,
112,9789861547534,重構1e,重構—改善既有程式的設計(第二版) 1/e,312.2,8970,2008,,fail,,,,,
113,9789862764916,Sketchup3D,SketchUp全方位3D建模實作（超值加贈影音教學及範例檔）,967.029,4622,2012,,fail,,,,,
114,9789863476856,Rpi應用,Raspberry Pi實例應用集,312.2,8464,2015,,fail,,,,,
115,9789863478751,MC模組,Minecraft模組設計：使用Java建立酷炫好玩的模組,312.8,8434,2016,,,,,,,
116,9789861811918,jQuer2e,jQuery 實戰手冊（第二版）(平裝),312.32J36,6022,2011,,,,,,,
117,9789861994079,CoronaSDK,10天做好App：Corona SDK超直覺遊戲開發攻略！ 跨平台、低成本、超快完成,510.359,8956,2013,,,,,,,
118,9789863473312,Matz程式未來,松本行弘談程式世界的未來,312.3,8347,2014,,fail,,,,,
119,9789863475460,ItDjango,It's Django ： 用Python迅速打造Web應用!,312.32P97,8757,2015,,fail,,,,,
120,9789865617011,Linux硬架,Linux硬體架構與指令之解析,312.54,7744,2015,,fail,,,,,
121,9789866703140,日本中小學,從日本中小學課本學日文：附【東京音朗讀MP3】,803.18,7375,2009,,,,,,,
122,9789863475392,Make感測,Make感測器：運用Arduino和Raspberry Pi感測的專題與實驗,471.516,2122,2015,,fail,,,,,
123,9789576670893,買保險的第,買保險的第一本書,563.73,8866,1998,,,,,delete,,
124,9789863611400,冰火七國騎,冰與火之歌外傳：七王國的騎士,874.57,834,2015,,,,,,,
125,9789861859750,冰火.5A,冰與火之歌第五部：與龍共舞（上冊）,874.57,834,2014,v.1,,,,,,
126,9789861859767,冰火.5B,冰與火之歌第五部：與龍共舞（中冊）,874.57,834,2014,v.2,,,,,,
127,9789861859774,冰火.5C,冰與火之歌第五部：與龍共舞（下冊）,874.57,834,2014,v.3,,,,,,
128,9789863710455,麵包製作書,成功vs.失敗麵包製作書,427.16,4450,2016,,,,,,,
129,9789869458672,零失敗花樣,零失敗花樣饅頭，花捲與包子：家庭必備中式麵點食譜書，400張步驟圖保證成功！,427.16,3442,2017,,,,,delete,,
130,9789575323134,日本語句型,日本語句型知惠袋（附2CD）,803.169,9066,2006,,fail,,,,,
131,9789867694393,用聽的學日,用聽的學日文文法(平裝附光碟片),803.16,1144,2005,,,,,,,
132,9789868409873,日文結構2,日文結構訓練方法(下)句型與聽力(附MP3)(平裝),803.169,6787,2010,v.2,,,,,,
133,9789868409866,日文結構1,日文結構訓練方法(上)句型與聽力(附MP3)(平裝),803.169,6787,2010,v.1,fail,,,,,
134,9789862018644,3D列印無限,3D列印無限可能：從打造自己的3D印表機到輸出個性化3D物件,477.7,8468,2014,,,,,,,
135,9789868409804,日文結構的,日文結構的秘密《跨越初級障礙》(平裝),803.16,8566,2008,,fail,,,,,
136,9789575322977,日本語文法,日本語文法知惠袋,803.16,8474,2005,,fail,,,,,
137,9789575323028,日本語發音,日本語發音知惠袋（1書+ 2CD）,803.14,8474,2006,,fail,,,,,
138,9789861451169,跟我說韓語,跟我說韓語,803.288,8689,2004,,fail,,,,,
139,9789864177240,怎樣解題,怎樣解題,310,4417,2006,,,,,,,
140,9789863592198,寫字書：第,寫字書：第一本輕鬆寫好字的工具書,523.314,466,2016,,fail,,,,,
141,9789862355121,最後一個知,"最後一個知識人： 末日之後, 掌握重建文明社會的器物、技術與原理",300,733,2016,,,,,,,
142,9789575613204,樂理超入門,樂理超入門〔英漢對照〕附CD,911.1,1042,2009,,fail,,,,,
