id,title,isbn,link
109,黑帽Python: 給駭客與滲透測試者的Python開發指南,9789863477808,https://share.readmoo.com/book/494932
110,Python設計模式深入解析,9789864340415,https://share.readmoo.com/book/496687
111,測試驅動開發：使用 Python,9789864760244,https://share.readmoo.com/book/658261
112,重構--改善既有程式的設計(第二版),9789861547534,https://share.readmoo.com/book/104910
113,SketchUp全方位3D建模實作（超值加贈影音教學及範例檔）,9789862764916,https://share.readmoo.com/book/139829
114,Raspberry Pi實例應用集,9789863476856,https://share.readmoo.com/book/576246
115,Minecraft模組設計：使用Java建立酷炫好玩的模組,9789863478751,https://share.readmoo.com/book/607920
116,jQuery 實戰手冊（第二版）(平裝),9789861811918,https://share.readmoo.com/book/112295
117,10天做好App：Corona SDK超直覺遊戲開發攻略！ 跨平台、低成本、超快完成,9789861994079,https://share.readmoo.com/book/112587
118,松本行弘談程式世界的未來,9789863473312,https://share.readmoo.com/book/113723
119,It's Django,9789863475460,https://share.readmoo.com/book/493895
120,Linux硬體架構與指令之解析,9789865617011,https://share.readmoo.com/book/593390
121,從日本中小學課本學日文：附【東京音朗讀MP3】,9789866703140,https://share.readmoo.com/book/239586
122,Make感測器：運用Arduino和Raspberry Pi感測的專題與實驗,9789863475392,https://share.readmoo.com/book/114116
123,買保險的第一本書,9789576670893,https://share.readmoo.com/book/496389
124,冰與火之歌外傳：七王國的騎士,9789863611400,https://share.readmoo.com/book/292127
125,冰與火之歌第五部：與龍共舞（上冊）,9789861859750,https://share.readmoo.com/book/291750
126,冰與火之歌第五部：與龍共舞（中冊）,9789861859767,https://share.readmoo.com/book/291751
127,冰與火之歌第五部：與龍共舞（下冊）,9789861859774,https://share.readmoo.com/book/291752
128,成功vs.失敗麵包製作書,9789863710455,https://share.readmoo.com/book/652231
129,零失敗花樣饅頭，花捲與包子：家庭必備中式麵點食譜書，400張步驟圖保證成功！,9789869458672,https://share.readmoo.com/book/761924
130,日本語句型知惠袋（附2CD）,9789575323134,https://share.readmoo.com/book/242479
131,用聽的學日文文法(平裝附光碟片),9789867694393,https://share.readmoo.com/book/417158
132,日文結構訓練方法(下)句型與聽力(附MP3)(平裝),9789868409873,https://share.readmoo.com/book/239946
133,日文結構訓練方法(上)句型與聽力(附MP3)(平裝),9789868409866,https://share.readmoo.com/book/239934
134,3D列印無限可能：從打造自己的3D印表機到輸出個性化3D物件,9789862018644,https://share.readmoo.com/book/113061
135,日文結構的秘密《跨越初級障礙》(平裝),9789868409804,https://share.readmoo.com/book/239807
136,日本語文法知惠袋,9789575322977,https://share.readmoo.com/book/242474
137,日本語發音知惠袋（1書+ 2CD）,9789575323028,https://share.readmoo.com/book/242475
138,跟我說韓語,9789861451169,https://share.readmoo.com/book/610424
139,怎樣解題,9789864177240,https://share.readmoo.com/book/235257
140,寫字書,9789863592198,https://share.readmoo.com/book/633178
141,"最後一個知識人: 末日之後, 掌握重建文明社會的器物、技術與原理",9789862355121,https://share.readmoo.com/book/651799
142,樂理超入門〔英漢對照〕附CD,9789575613204,https://share.readmoo.com/book/666360
143,世界記憶力冠軍的高效記憶筆記,9789869236850,https://share.readmoo.com/book/610167
144,最新三體書寫習字帖,9789575529673,https://share.readmoo.com/book/778056
145,鋼筆字臨摹範典,9789575521202,https://share.readmoo.com/book/610061
146,寫好鋼筆字的書,9789575521431,https://share.readmoo.com/book/761119
147,MTB自行車改裝＆維修(平裝),9789575266981,https://share.readmoo.com/book/186013
148,郭老師的跑步課：從入門到進階，300個正確的跑步要訣,9789573272946,https://share.readmoo.com/book/192561
149,跑步，該怎麼跑？－學會「姿勢跑法」，提高跑步效能、不受傷！(平裝),9789861205502,https://share.readmoo.com/book/186296
150,我的第一本！機車維修&保養(平裝),9789575268459,https://share.readmoo.com/book/373687
151,汽車維修DIY：新手都能學會自己來的汽車保養圖解全集,9789866056796,https://share.readmoo.com/book/190774
152,2050科幻大成真：超能力、心智控制、人造記憶、遺忘藥丸、奈米機器人，即將改變我們的世界,9789571362816,https://share.readmoo.com/book/461506
153,圍棋初學指南,9789576474026,https://share.readmoo.com/book/772372
154,花草遊戲No.69日日鮮採！用盆栽就有好結果的家庭果樹,9789865802110,https://share.readmoo.com/book/192218
155,花草遊戲No.59 活用解析！我的鄉村風花園(平裝),9789866086632,https://share.readmoo.com/book/189994
156,ACLS精華,9789578804739,https://share.readmoo.com/book/610765
157,人體解剖著色學習手冊,9789865623142,https://share.readmoo.com/book/548084
158,吉他手冊系列叢書－彈指之間十二版（附CD）(平裝),9789866787362,https://share.readmoo.com/book/189239
159,人體解剖全書,9789866033438,https://share.readmoo.com/book/352574
160,手工書 設計&製作,9789865973391,https://share.readmoo.com/book/161096
161,一支筆就能寫! 手寫英文藝術字 (附黑白雙色練習帖),9789863425588,https://share.readmoo.com/book/625677
162,DTP桌上排版活用技術修煉　(平裝),9789575279073,https://share.readmoo.com/book/373782
163,節能建築設備教科書：集合住宅、辦公建築篇,9789863700289,https://share.readmoo.com/book/400402
164,大亨小傳,9789576500992,https://share.readmoo.com/book/474422
165,希臘神話,9789575451462,https://share.readmoo.com/book/567525
166,鐵母雞遊世界(平裝),9789570830811,https://share.readmoo.com/book/184603
167,身為職業小說家,9789571365091,https://share.readmoo.com/book/612905
168,沒有女人的男人們,9789571360782,https://share.readmoo.com/book/264170
169,鐵人三項--游泳、自行車、跑步三項全能運動入門(平裝),9789862351192,https://share.readmoo.com/book/186228
170,在水裡自由練功 ：掌握游泳招式、心法，精進技術，突破速度！,9789862351796,https://share.readmoo.com/book/190264
171,柏德之門,9789572313756,https://share.readmoo.com/book/518545
172,獵魔士長篇３：火之洗禮,9789863191469,https://share.readmoo.com/book/271539
173,獵魔士長篇２：蔑視時代,9789863191230,https://share.readmoo.com/book/289762
174,獵魔士長篇４：燕之塔,9789863191940,https://share.readmoo.com/book/628136
175,獵魔士長篇１：精靈血,9789863191124,https://share.readmoo.com/book/291990
176,獵魔士：命運之劍,9789866157752,https://share.readmoo.com/book/289439
177,獵魔士：最後的願望,9789866157493,https://share.readmoo.com/book/289372
178,新譯古文觀止(上/下)(革新版)(修訂三版),9789571407432,https://share.readmoo.com/book/283286
179,Help!Help!急救119,9789866558238,https://share.readmoo.com/book/341873
180,孔明兵法,9789578782099,https://share.readmoo.com/book/587109
181,語言學導論(平裝),9789575867867,https://share.readmoo.com/book/240195
182,我不當陀螺族！—「永遠嫌時間不夠用」的現代人全方位時間管理術(平裝),9789861734606,https://share.readmoo.com/book/116252
183,機器學習：使用Python進行預測分析的基本技術,9789864761388,https://share.readmoo.com/book/684940
184,Evernote雲端整理術：提升記事效率的137個實用筆記,9789862018439,https://share.readmoo.com/book/112942
185,搞定！：工作效率大師教你:事情再多照樣做好的搞定5步驟,9789869340571,https://share.readmoo.com/book/697900
186,你說，寮國到底有什麼？,9789571368542,https://share.readmoo.com/book/719622
187, 主題活動 刺殺騎士團長 第二部 隱喻遷移篇(平裝),9789571371894,https://share.readmoo.com/book/795836
188,動物農莊,9789575451615,https://share.readmoo.com/book/445253
189,The Linux Programming Interface 國際中文版（上冊）,9789864761678,https://share.readmoo.com/book/697706
190,書櫃偏執狂的木工聖經：0.1mm決不退讓！跟著日本宅男大叔的手作魂打造完美書櫃！,9789866151705,https://share.readmoo.com/book/164926
191,Debugging 中文版：軟體與系統除錯的 66 個具體作法,9789864762514,https://share.readmoo.com/book/708379
192,現代樂理（一）超簡單學習法（第七版）,9789869307055,https://share.readmoo.com/book/721995
193,Eclipse完全攻略：從基礎Java到PDF外掛開發（第三版）,9789862019689,https://share.readmoo.com/book/113706
194,Minecraft的新魔法: 打破虛擬沙盒世界的界限,9789864341030,https://share.readmoo.com/book/675577
195,圖解資料結構：使用Python,9789864342365,https://share.readmoo.com/book/782559
196,無瑕的程式碼（番外篇）專業程式設計師的生存之道,9789862017883,https://share.readmoo.com/book/112631
197,易讀程式之美學：提升程式碼可讀性的簡單法則,9789862767191,https://share.readmoo.com/book/110972
198,資料視覺化：使用Python與JavaScript,9789864763269,https://share.readmoo.com/book/744567
199,Data Science from Scratch中文版：用Python學資料科學,9789864761982,https://share.readmoo.com/book/703022
200,Make：國際中文版15,9789866076992,https://share.readmoo.com/book/399537
201,別笑！我是德語學習書（附MP3 CD）,9789862283356,https://share.readmoo.com/book/245620
202,大家學標準日本語（高級本）（超值組合：課本＋文法解說．練習題本＋東京標準音MP3）,9789866703638,https://share.readmoo.com/book/242694
203,大家學標準日本語（中級本）,9789866703621,https://share.readmoo.com/book/242656
204,精通 Go 程式設計,9789864761333,https://share.readmoo.com/book/682185
205,網站擷取：使用Python,9789864761753,https://share.readmoo.com/book/696229
206,版本控制使用Git（第二版）,9789862766699,https://share.readmoo.com/book/110653
207,Python自動化的樂趣: 搞定重複瑣碎&單調無聊的工作,9789864762729,https://share.readmoo.com/book/715962
208,超圖解物聯網IoT實作入門：使用JavaScript、Node.JS、Arduino、Raspberry Pi、ESP8266、Espruino,9789863123439,https://share.readmoo.com/book/660279
209,素人木作！超easy的木作收納百科,9789863700180,https://share.readmoo.com/book/165669
210,活用一輩子的旅行筆記術,9789861793405,https://share.readmoo.com/book/194095
211,圖解．一寫就成真！神奇高效手帳筆記術：4色手寫＋40種記事提案，第一本真正教你如何寫手帳的工具書,9789869124010,https://share.readmoo.com/book/142102
212,告別瀑布，擁抱Scrum：解析微軟與Adobe如何在30天內開發出新軟體,9789862019542,https://share.readmoo.com/book/113521
213,全能Android絕對正確培養聖經,9789863795230,https://share.readmoo.com/book/754399
214,活用一輩子的讀書筆記術【完全攻略版】,9789861794648,https://share.readmoo.com/book/699167
215,大家的日本語 初級Ⅰ（附聽解問題CD）,9789578279063,https://share.readmoo.com/book/445803
216,完美牛排烹飪全書─12道全世界都在享用的經典牛排食譜,9789868774193,https://share.readmoo.com/book/160740
217,就是愛烤肉：詹姆士烤肉訣竅全公開,9789869015257,https://share.readmoo.com/book/355433
218,咖啡入門教科書,9789866033759,https://share.readmoo.com/book/354465
219,大家學標準日本語～初級本（超值組合：課本＋文法解說．練習題本＋東京標準音MP3）,9789866703607,https://share.readmoo.com/book/242636
220,刺殺騎士團長 第一部 意念顯現篇(平裝),9789571371870,https://share.readmoo.com/book/795061
221,省錢修繕DIY全書（增訂工具詳解篇，2014年全新上市）,9789865680367,https://share.readmoo.com/book/194305
222,精通 Python：運用簡單的套件進行現代運算,9789863477310,https://share.readmoo.com/book/504440
223,活用一輩子的筆記術,9789861792286,https://share.readmoo.com/book/240448
224,一次搞定！木工Q&A,9789576866067,https://share.readmoo.com/book/215256
225,大師不傳的木工秘訣(平裝),9789866185601,https://share.readmoo.com/book/237058
226,1Q84（BOOK 3）,9789571352503,https://share.readmoo.com/book/14300
227,圓滿家庭木作計畫,9789867139283,https://share.readmoo.com/book/215340
228,一坪家庭菜園(平裝),9789867637420,https://share.readmoo.com/book/353037
229,Google！Android 3手機應用程式設計入門 第四版 (平裝),9789572239346,https://share.readmoo.com/book/138444
230,Programming in Python 3,9780321680563,https://share.readmoo.com/book/570764
231,黑夜之後,9789571342474,https://share.readmoo.com/book/261914
232,我，機器人,9789867415912,https://share.readmoo.com/book/471263
233,最簡單的互動設計Arduino一試就上手（第二版）,9789862766064,https://share.readmoo.com/book/421082
234,8051單晶片/C語言設計實務（第二版）（附範例程式檔、試用版軟體）,9789862762639,https://share.readmoo.com/book/185239
235,數位攝影的第一堂課(附CD),9789866482588,https://share.readmoo.com/book/109114
236,居家修繕自己來完全圖解,9789866555633,https://share.readmoo.com/book/347715
237,世界末日與冷酷異境,9789571313405,https://share.readmoo.com/book/261884
238,1Q84,9789571351032,https://share.readmoo.com/book/470941
239,Programming in Python 3,9780321699879,https://share.readmoo.com/book/786281
240,松本行弘的程式世界 ─ 成為一流程式設計師的14種思考術(平裝),9789862013571,https://share.readmoo.com/book/105026
241,聽見100%的村上春樹,9789571341156,https://share.readmoo.com/book/494478
242,村上春樹心底的中國,9789571348858,https://share.readmoo.com/book/272033
243,萊辛頓的幽靈,9789571324906,https://share.readmoo.com/book/472755
244,終於悲哀的外國語,9789571343945,https://share.readmoo.com/book/261917
245,抗生素的迷思,9789861242453,https://share.readmoo.com/book/498110
246,最新圖解生化學,9789576667244,https://share.readmoo.com/book/786280
247,如何閱讀一本書,9789570517989,https://share.readmoo.com/book/401208
248,7 brains─怎樣擁有達文西的七種天才(平裝),9789570316001,https://share.readmoo.com/book/375183
249,Agile Web Development with Rails,9780976694007,https://share.readmoo.com/book/597542
250,所羅門王的指環,9789576213625,https://share.readmoo.com/book/462438
251,統計，讓數字說話!,9789576214912,https://share.readmoo.com/book/410583
252,Ruby Programming－向Ruby之父學程式設計　(平裝附光碟片),9789575279776,https://share.readmoo.com/book/107738
253,C程式語言設計與問題解決(Ucknan：Problem Solving Using C 2/E),9789574935529,https://share.readmoo.com/book/418607
254,魔獸爭霸：巨龍傳奇,9789571032719,https://share.readmoo.com/book/290167
255,打好基礎,9789575278052,https://share.readmoo.com/book/786279
256,Perl學習手冊,9789578247062,https://share.readmoo.com/book/542067
257,牧羊少年奇幻之旅,9789571323831,https://share.readmoo.com/book/445392
258,海邊的卡夫卡(上),9789571338408,https://share.readmoo.com/book/261911
259,遇見100%的女孩,9789571315775,https://share.readmoo.com/book/261887
260,傷心咖啡店之歌,9789575604509,https://share.readmoo.com/book/445045
261,海邊的卡夫卡(下),9789571338415,https://share.readmoo.com/book/261912
262,百年孤寂,9789575452919,https://share.readmoo.com/book/445033
263,在天堂遇見的五個人,9789867600790,https://share.readmoo.com/book/260786
264,精通Python,9789574662807,https://share.readmoo.com/book/521452
265,世紀末軟體革命復刻版,9789867199645,https://share.readmoo.com/book/482164
266,新版圖表日文法攜帶版,9789577105943,https://share.readmoo.com/book/242577
